model,auroc,detection_error,aupr_in,aupr_out,threshold
Baseline,0.6523366743146962,0.35714285714285715,0.6834847892600302,0.6029578343331703,0.9949722
Deep Ensemble,0.695447409733124,0.3516483516483516,0.7136845987316498,0.6833397588088743,0.9527558
TC,0.8409209837781266,0.2564102564102564,0.683986289387974,0.9420336680876065,0.234536
