Metric,Value
Dataset,Arrhythmia_raw_clean
N_features,279
N_classes,13
N_chains,10
Ensemble AUROC (%),84.09
Ensemble DetErr (%),25.64
Avg Conf ID (%),37.70
Avg Conf OOD (%),23.62
Gap (%),14.08
---,---
Chain 1,AUROC=78.66%
Chain 2,AUROC=72.29%
Chain 3,AUROC=78.07%
Chain 4,AUROC=80.03%
Chain 5,AUROC=79.9%
Chain 6,AUROC=79.04%
Chain 7,AUROC=80.16%
Chain 8,AUROC=77.64%
Chain 9,AUROC=77.48%
Chain 10,AUROC=65.0%
